name,review,rating
Nature's Lullabies First Year Sticker Calendar,"I bought this calender for myself for my second son. It is very colorful and has room on each page to write height, weight, and what baby likes to do. There is also room on each page for a photo to be placed. The calender date boxes have room for a sticker and some fine writing. My only complaint is that it does not have as many stickers as I would like, but I just put asterisks before whatever special event happened that day. I bought one for a friend as she found it very useful as well.",4
Nature's Lullabies First Year Sticker Calendar,"I love this little calender, you can keep track of all of baby's firsts. I like the illustrations, and the stickers too.",5
Nature's Lullabies Second Year Sticker Calendar,This was the only calender I could find for the second year. I did one for the first and wanted to continue cause there are so many things to note still after they turn 1. This one was better than the first year one I got him.,5
Nature's Lullabies Second Year Sticker Calendar,I completed a calendar for my son's first year and really enjoyed tracking all of his milestones and special moments - so much so that I wanted to continue in the second year since he's still doing amazing and fun things every day.  I really like the simple layout of the calendar and while it might not have all the questions and milestone stickers you want - at least it's something to keep recording all those special moments!,4
Nature's Lullabies Second Year Sticker Calendar,We wanted to get something to keep track of our child's milestones and this is a cute option. There aren't many other choices out there and this does exactly what we wanted.,5
Nature's Lullabies Second Year Sticker Calendar,"I had a hard time finding a second year calendar, this is the only one I came across and it is great!  Large enough to write in the squares and has a spot to put that month's picture in as well as some memories. The first two years they change so much I like to jot everything down so I can keep track of all the big milestones...and little ones!  I find it is easier to do this on a calendar vs a baby book.  This way you can fill out the baby book later and have a great reference to do so!",5
Nature's Lullabies Second Year Sticker Calendar,"I only purchased a second-year calendar for my son because I had one for my daughter. I was really disappointed with the lack of selection available for second-year calendars in general, so I just got this one because it was one of the only ones. It's an okay calendar. The finish on the pages is glossy which makes it hard to write on with certain pens. The stickers aren't very cute and the pages are pretty old-fashioned looking. Hopefully they will come out with some other calendars for future purchasers.",2
Nature's Lullabies Second Year Sticker Calendar,I LOVE this calendar for recording events of my son's second year of life.  There are plenty of 1st year baby calendars out there and I loved reocording events of his first year and didn't want to just stop now that he is one.  Nature's lullabies second year calendar is perfect for continuing on with daily record keeping.  The stickers are wonderful and helped me think of milestones to record that I might not have thought of on my own.  I highly recommend this calendar!  Plus it's super cute and brat for either gender.,5
Nature's Lullabies Second Year Sticker Calendar,"Calendar is exactly as described, but I find the look of it to be very cheap.  There are lots of nice stickers to use.  I was just disappointed it looks so cheap.",3
Nature's Lullabies Second Year Sticker Calendar,"Wife loves this calender. Comes with a lot of stickers and options to mark the firsts. Includes spaces for milestone photos as well. Sticker borders for photos, etc, it is just a very easy to use scrap booking option. Especially for new moms who dont have enough time to actually sit down, and haul out a ton of scrapbook supplies",5
Nature's Lullabies Second Year Sticker Calendar,My daughter had her 1st baby over a year ago. She did receive and fill up a First Year Calendar. When her son was nearing his first birthday she was looking for a Second Year Calendar to record his milestones. Thanks to Amazon I was able to get this for her and she LOVES it. Tender sweet art work - helpful stickers - unique pages to fill. A nice keepsake. A wonderful gift for a one-year old!,5
Baby's First Journal - Green,"Extremely useful! As a new mom, tired and inexpedient, not remembering how long ago baby ate, this definitely helped me through the first two months.",5
"Lamaze Peekaboo, I Love You",My son loves peek a boo at this age of 9 months so I thought this book would be perfect! This book doesn't engage him enough though it seems.  He does however like the cover the most if I make pretend blow-kisses and peekaboo gestures with the hands and show him. He also likes when I fan the hair towards his face.Maybe when he's older he will flip the flaps but right now he just likes the mirror at the end and the front cover. If I flip the book through he just takes the book and shakes it around.,3
"Lamaze Peekaboo, I Love You","One of baby's first and favorite books, and it is washable! I gave 1 less star than perfect because I'd like to see some diversity in the people - not just your typical white family ;)",4
"Lamaze Peekaboo, I Love You",I like how the book has a hook to attach it to your stroller or car seat - it wont get lost.  Great way to go over family members.,5
"Lamaze Peekaboo, I Love You",Beautiful little book.  A great little short story saying I Love You....Keeps the attention of the baby and then the baby can actually turn the pages and hold on to it when you are finished interacting with it.,5
"Lamaze Peekaboo, I Love You",This book is so worth the money. It says 9+ months on the box but I can't wait for my baby to be born to try to use it before. It's so cute and very interactive! There are flaps to open on every page.,5
"Lamaze Peekaboo, I Love You","we just got this book for our one-year-old and she loves it.  It's so nice that she can't bite chunks out of it like she can a board book or rip it like a paper one.  She can chew on it, pull on it, and carry it all over the house!  She loves the little flaps that open and is learning simple words like ""daddy,"" ""mommy,"" ""puppy,"" etc.  We love it.",5
"Lamaze Peekaboo, I Love You",The book is colorful and is perfect for 6months and older. The only thing I didn't like was the strong smell of the dyes and/or material. I dunked the pages in detergent. Then let the book dry overnight.,4
"Lamaze Peekaboo, I Love You","The book is cute, and we are huge fans of Lamaze products, however, this one leaves out some family members (no little brother) and can possibly cause hurt feelings. That said, our baby loves to play with the hands, hair and flaps!",3
"Lamaze Peekaboo, I Love You",What a great book for babies!  I'd been looking for books which couldn't be damaged by my 10-month old's drool...so cloth or plastic books were my options.  This book adds another level to your usual cloth book--a fun flap or moving part on every page.  This interactive book is perfect for my baby!,5
"Lamaze Peekaboo, I Love You","My son loved this book as an infant.  It was perfect because he would chew on his board books and destroy them, but this one we didn't have that issue.  I love the Lamaze series, they are a lot of fun not only for the child but for the parent.I liked that this book was not only teaching my son about Peek a Boo, but we used it to learn names for family members like grandparents, sister, cat, dog etc.  And of course with it being a lift the flap book, that was additional fun for my son as well.  He's nearly two now and he doesn't look at it as much, but he still does enjoy reading it and playing with it now and again.  I'd say out of all the Lamaze books, this one and Discovery Farm are his favorites.",5
"Lamaze Peekaboo, I Love You","Our baby loves this book & has loved it for a while now ... He enjoys when I read it to him, and enjoys playing with it on his own.",5
SoftPlay Twinkle Twinkle Elmo A Bedtime Book,,5
SoftPlay Twinkle Twinkle Elmo A Bedtime Book,My son likes brushing elmo's teeth. Almost too nice of a book to let the kids play with haha :),5
SoftPlay Twinkle Twinkle Elmo A Bedtime Book,This was a birthday present for my 2 year old grandchildren.  They love this book and will sit and go through it page by page themselves .  The pictures are imaginative and appeal to young children.  Would buy it again!,5
"SoftPlay Giggle Jiggle Funbook, Happy Bear","This bear is absolutely adorable and I would give it a 5 star rating if it actually giggled or growled like it was suppose to!  I just got it in the mail the other day and was super excited when I saw how cute it was!  If it's something as simple as a dead battery I could handle it BUT I can't even find a place where the batteries would to!  Such a disappointment....it's going back and I have no gift to take down to my new Granddaughter, Kenzie, now!",2
SoftPlay Peek-A-Boo Where's Elmo A Children's Book,"My baby absolutely loves Elmo and so this book seemed perfect for her.  I'm happy to say I was right:  this book is nice and soft and beautifully illustrated so my little one takes it everywhere and ""reads"" it all of the time. While Elmo is the main character of because he hides on each page, other Sesame Street characters are also featured which is fun, too. Another great, interactive, Elmo centric book that I would recommend for the Sesame Street/Elmo lovers is ""Twinkle, Twinkle Elmo"" (which is also available on Amazon for a great price).",5
SoftPlay Peek-A-Boo Where's Elmo A Children's Book,"I bought two for recent baby showers!  The book is soft and interactive, great for any baby, and the bright colors are beautiful.  Lastly, who doesn't love Elmo!",5
SoftPlay Peek-A-Boo Where's Elmo A Children's Book,"We wanted to get another book like the Big Birds Friends softplay book, and we only found the two Elmo books. This one is fun, but the Big Bird book has more variety and is more creative.",4
SoftPlay Peek-A-Boo Where's Elmo A Children's Book,This is a cute little peek-a-boo story book.  It's soft.  It's safe.  And it is easy for baby to handle.,4
SoftPlay Peek-A-Boo Where's Elmo A Children's Book,"My 3 month old son loves this book. We read it over and over and he smiles and laughs every time we find Elmo and say &#34;peekaboo Elmo!&#34;  We have a few different soft books and this is the most colorful and fun to read. And baby adores it, so 5 stars for sure.",5
SoftPlay Peek-A-Boo Where's Elmo A Children's Book,Very cute interactive book! My son loves this book! The bright colorful illustrations make this great for babies & toddlers.,5
"SoftPlay 4 Pack Block Book, Sweet Sesame","Bought for granddauchildren and they play with them all the time.  Love reading to them.  Soft, so if they fall on them, they are safe. When they use the Elmo book, the kiss Elmo.  Got when they were 9 mos, now they are two and we are still having fun with them.  They love to see how high they can stack the blocks before it falls over.  I buy as a baby present.",5
"SoftPlay 4 Pack Block Book, Sweet Sesame","I have teething babies and these were great for entertaining the, and letting them chew and droll all over the, without worrying about ruining them. They were great for setting them off to their side to encourage rolling over and crawling. Great Christmas gift for the younger baby and didn't break the bank.",4
"SoftPlay Cloth Book, Love",This book is boring. Nothing to stimulate my granddaughter. It is a waste of money. I would not recommend it,1
SoftPlay Baby's First Cloth Books Gift Set,"It is so hard to find cloth books with ACTUAL images on them! So many have unrealistic portrayals of what animals/objects look like, but this one is fantastic. EXACTLY what we were looking for!!When we teach our 1 year old what a ""lion"" is, we want to show him a REAL lion... not a drawing that looks nothing like a real lion.",5
"SoftPlay Cloth Book, Hugs","for the young child, very cute...so happy they can &#34; read&#34; something there is little or no chance of them destroying..many happy reading memories",5
SoftPlay Baby Animals of the World Soft Cloth Book,"not bad but not as interesting to my 1-year old as I thought. Mot interactive [texture, etc] but cute anyway",3
Baby's First Year Undated Wall Calendar with Stickers to Mark &quot;Firsts&quot; - Pink,A friend bought me this calendar when our daughter was born.  Love it!  It's so fun and will be a great momento.,5
Baby's First Year Undated Wall Calendar with Stickers to Mark &quot;Firsts&quot; - Pink,"Quick and Easy to keep up with all the first milestones of a little one, especially for a busy, first-time Mom.",5
Baby's First Year Undated Wall Calendar with Stickers to Mark &quot;Firsts&quot; - Pink,I searched high and low for a first year calendar and settled on this one based on the reviews.  I am so happy that I did.  Perfect for jotting down quick memories throughout the month and remembering dates of baby's &#34;firsts&#34;.  Will be fun to look back on.  Also has spots for personalization and pictures.,5
Baby's First Year Undated Wall Calendar with Stickers to Mark &quot;Firsts&quot; - Pink,This is a very good gift for a new mother.  You would want to give it to the parents as soon as baby is born so that they can start from the very beginning to chart the &#34;firsts&#34;.  I had one of these calendars for each of my five children.  They enjoy looking up their &#34;firsts&#34; especially as they are now parents themselves.,5
Our Baby Girl Memory Book,,5
Our Baby Girl Memory Book,Absolutely love it and all of the Scripture in it.  I purchased the Baby Boy version for my grandson when he was born and my daughter-in-law was thrilled to receive the same book again.,5
Our Baby Girl Memory Book,Bought as a gift for my daughter in law. She loved it. Simple but a place to put important memories down. I loved the verses at bottom of pages.,4
Our Baby Girl Memory Book,"I didn't realize this was a religious product, so I almost returned it.  (Not that I have anything against that, but some of the pages ask for favorite scripture, prayers for the baby, etc.). Wasn't sure that fir with out lifestyle, but the book has all the right ages for memories, so we are keeping it.",3
Our Baby Girl Memory Book,OMG.....we loved this baby book! Perfect for the memories you want to remember when your little one gets bigger and starts asking questions. It even had a place for foot and hand prints for when your baby is born which is the main reason why we liked this one. Also it has pockets for keepsakes and little places to put first locks of hair....etc! So cute and is a great baby shower gift!,5
Our Baby Girl Memory Book,"Beautiful book, I love it to record cherished times in my great granddaughters life with the beautiful pastel pink color.",5
Our Baby Girl Memory Book,"Really happy with this purchase. I was looking for an english baby book (I'm French and the daddy is Flammish) and this is the perfect one. Lot of info to fill in : family, firsts...and mini pockets to preserve hair, maternity bracelet...Really happy!",5
My Kindergarten Year - A Keepsake Book,"I was pleasantly surprised upon receiving the memory book entitled,  ""My Kindergarten Year"". It is the perfect way to record one's Kindergarten experience through photographs and detailed descriptions of this very important time in your child's life. The questions are fun for your child to answer and record while serving its purpose for the parent.I'd recommend this book to everyone with a Kindergartener.",5
My Kindergarten Year - A Keepsake Book,I'm so glad I stumbled upon these gem. My son has already started answering questions and I think it will be a great memory to look back years later to see how he answered the questions.,5
Jellycat Elephant and Mouse Book,The book is just a few pages long with a few words to each page.  Just short enough to keep the attention of my 6 month old son.  We have the Elephant as well so when he's older it will be neat to see the realization of the association between the stuffed toy and the book character,4
God Created Everything Nite Lite,"This is well made a very pretty,.  It gives a nice light and will be used for years...I recommend it highly.  It also makes a great gift.",5
Hunnt&reg; Falling Flowers and Birds Kids Nursery Home Decor Vinyl Mural Art Wall Paper Stickers,"Try this out for a spring project !Easy ,fun and affordable wall decals ...Fine quality and brightens up any room.. 5+ **********",5
Hunnt&reg; Falling Flowers and Birds Kids Nursery Home Decor Vinyl Mural Art Wall Paper Stickers,The reason:Small sizeHard to apply on the wall because most part of flower only in one pieceYou will know how waste money it is when second day morning you see all the flowers fell on the floor in a roll.,1
Wall Decor Removable Decal Sticker - Colorful Butterflies,Would not purchase again or recommend. The decals were thick almost plastic like and were coming off the wall as I was applying them! The would NOT stick! Literally stayed stuck for about 5 minutes then started peeling off.,2
Modern House Winnie the Pooh Swing and Tiger Swing (2 pages) removable Vinyl Mural Art Wall Sticker Decal,I could not get these Winnie the Pooh themed wall decor stickers in New Zealand and these were a very cost effective option that I was very impressed with.  They were easy to stick on and look fantastic on the wall - they don't &#34;look&#34; like stickers at all.  Very professional and very seamless on the paintwork.,5
Modern House Tower of Pisa Italy removable Vinyl Mural Art Wall Sticker Wall Decal,"Very satisfied about the product, grat design, it came as ir said on page.  I highly reccomend the product, and I follow buying more.",5
Blessed By Pope Benedict XVI Divine Mercy Full Color Medal,very nice Divine Mercy Pendant of Jesus now on chain around my neck.  Love It!  Divine Mercy represents Jesuswho offers us an ocean of divine mercy.  Pray to God for our country. You need HIM in your lives!,5
Reusable Flannel (15) Baby Wipes 100% Cotton Bleached and Unbleached (Flushable Diaper Liners),I love these wipes.  They are so simple and soft and they are a great price for reusable wipes.  They actually get my baby clean and dry during diaper changes.  And I know that I'll find a million other uses for them after our diaper days are done.  I'm ordering more of them right now!,5
Beautiful Girl and Black Flower Removable Vinyl Mural Art Wall Sticker Decal,"It is nice and looks great on my wall. It was just a bit smaller than what I thought, but that was my fault and not taking the measurements.",4
Cloth Diaper Pins Stainless Steel Traditional Safety Pin (Black),We bought the pins as my 6 year old Autistic son was able to open or break open normal safety pins we needed to use for his night time clothes.  These new pins are significantly more sturdy and he hasn't learned how to open them and only once has he broken one open.  I seem to recall that their shipping price was more than a bit on the high side of reasonable though given the size of the package...,4
Cloth Diaper Pins Stainless Steel Traditional Safety Pin (Black),These were  good quality--worked fine--heavy duty--able to be used in any way needed and filled my need as no others,2
Cloth Diaper Pins Stainless Steel Traditional Safety Pin (Black),A great safety pin that has lots of uses.  Easy to find with bright colors and a great bargain for a dozen.,5
Cloth Diaper Pins Stainless Steel Traditional Safety Pin (Black),"While the diaper pins are attractive, the metal in the pins I received are flimsy and did not hold up to the thick fabric I used them on. Fortunately there was no baby involved, so no little on was stuck.",2
Cloth Diaper Pins Stainless Steel Traditional Safety Pin (Black),"These diaper pins went to Honduras to hold the cloth diapers we also sent with the missionaries. It is difficult to find diaper pins in our &#34;disposable&#34; age. In Honduras, they do not have &#34;Pampers&#34;. They appreciated the kits we sent.",5
Cloth Diaper Pins Stainless Steel Traditional Safety Pin (Black),"It has been many years since we needed diaper pins, but I do like to pin my socks together through the wash and have never lost one yet. I was using brass dressmaker pins but they tended to open up during the wash cycle. My wife suggested diaper pins and we tried them. Thery're working perfectly and staying together through the washing. Matter of fact they can get a little tricky to open, but of course that was the idea. Recommended to keep your socks &#34;friended up&#34;.",5
Cloth Diaper Pins Stainless Steel Traditional Safety Pin (Black),"As another reviewer noted, these are great for matching socks before washing.  Now once the socks come out of the washer, I hang them to dry with the pins still on.  The socks stay on the line to dry without clothespins, they just hang with one sock on each side of the line.  After they are dried, I just open the pin and leave it by the hamper on a shelf.  As I put dirty socks into the hamper, I grab a pin and use it.  Has saved a lot of time and I don't have the problem of lost socks or mismatched socks on my feet.  Great idea and am glad I read about this here on the reviews.  Wish I had done this my whole life.",5
Cloth Diaper Pins Stainless Steel Traditional Safety Pin (Black),"The steel part is not strong at all, unlike the old diaper pins, which I still have.  Very hard to work it through a thicker fabric.  Would not recommend.",1
Cloth Diaper Pins Stainless Steel Traditional Safety Pin (Black),I really thought I was getting a dozen pins..turns out I should have counted the pins in the picture..as there are only 10. I am sad..and I think that they are overpriced. I only use them to mark yarn when I crochet so I will be going back to regular safety pins.,2
Cloth Diaper Pins Stainless Steel Traditional Safety Pin (Black),"Like = sharp ends that pierce through my diapers easier.  Dislike = the sides bend which is a pain.  That said, I am pushing them through older velcro tabs because the velcro on my diapers doesn't work anymore.",4
Cloth Diaper Pins Stainless Steel Traditional Safety Pin (Black),"These are the right color, so I am happy, but the steel on the needle bends easily, and is not as strong as I expected. I am pinning material for a dog bed with these, not diapers.",3
Cloth Diaper Pins Stainless Steel Traditional Safety Pin (Black),Diaper pins are hard to find locally!  This is a useful item to have - no matter the purpose...,4
Wall-stickers Wall Decor Removable Decal Sticker - Giant Cherry Blossom Tree in Wind,I am pleased with the design I just wish the actual picture was bigger an putting it together doesn't make sense the numbers aligned with the branches don't make any sense compared to the picture they give you as an instruction -- you have to sort of free hand. I had to start it half way up my wall so it made a difference an could actually be seen -- as far as it hold up I put it up about 2 weeks ago an it had not peeled off at all.,3
Super Mario Game Nintendo Wall Sticker and Decal,These do not stick to the wall. They start to peel as soon as you stick them to the wall.,1
New Style Trailing Cherry Blossom Tree Decal Removable Vinyl Kids Wall Decal Wall Sticker Peel and Stick,Was so excited to get this product for my baby girls bedroom!  When I got it the back is NOT STICKY at all!  Every time I walked into the bedroom I was picking up pieces off of the floor!  Very very frustrating!  Ended up having to super glue it to the wall...very disappointing.  I wouldn't waste the time or money on it.,1
Blessed By Pope Francis Franciscan Knotted Our Lady of Grace Italian Made Aurora Borealis Crystal Rosary,"I ordered this Rosary for a friend because it looked lovely in the photo and it is blessed by Pope Francis.  I was not disappointed as it is just beautiful, made with crystal, and knotted in between the Our Fathers.  I am giving this to my friend along with a copy of the novena of Our Lady Untier (or Undoer) of Knots, for whom Pope Francis has a strong devotion.  I definitely recommend this Rosary and would buy it again in a heart beat.",5
Blessed By Pope Francis Infant Jesus of Prague Nino De Praga Medal Charm Pendant,An excellent value and quality for the price.  Just right for wearing around the neck orattaching to a Brown Scapular or some such. And the Blessing makes the Item all the more Precious.,5
Musical Christmas Nativity Scene Angel with Baby Jesus in a Rustic Barkwood Resin Manger 8&quot; Tall,I was so excited to get this nativity.  I have been watching it for months and I finally had an excuse to spend $25.00.  It is beautiful and I am very happy with the look of the item.  I am not so happy about the music box.  The song is WAY too fast and it had to play it through once to even recognize the song.  I don't know if there is a way to slow down a music box; if there is I wish someone would tell me.  I still love the nativity but I am not as excited as I would be if the music had been right.Buyer beware... beautiful nativity; not so great music,3
Semanario (7) Little Girls 14k Gold Overlay Bangle Bracelets for Your Little Princess Sizes 1 - 4 (Size 2 - ages 9-24 Months),. I am pleased with product. I love the bangles however they are a bit small. Had to slid them on with lotion. I like a snug fitting bangle but whew these were tough to get on!! If my hand was a hair bigger they wouldn't have fit. They are on to stay. I have small hands also. I got the size for large kid small adult and they fit wrist but tough over the hand. Overall satisfied with product and fast shipping!,4
IKEA DUKTIG 15-piece breakfast set,This was for my 2 yr. old great granddaughter and she has a lot of fun playing with the set and pretend cooking.,4
"IKEA KLADD PRICKAR Bib, blue, red",I like those bibs. they are very useful. easy to wash and dry. the price is awesome. My friends also like them very much.,4
"IKEA KLADD PRICKAR Bib, blue, red","This bibs provided very good protections for messy eaters, my grandson is a 20 months old beautiful boy who loves to eat his marinara pasta with his fingers. My daughter loved this bibs, pasta elbows or curls fall in the front pocket when missing the mouth. Easy to wash too.",5
Holy Family Baby Jesus and Star Nativity Christmas Tree Ornament,"This is such a cute ornament, I collect nativity ornaments and this is perfect for my collection! Can't wait to add it to my nativity tree!",5
"Newborn Baby Tracker&reg; - Round the Clock Childcare Journal, Log Book",We used this to help us keep track of pees and poops during that first month. It is really helpful if you breastfeed to keep track of feeding patterns and wet diapers to make sure baby is eating enough. Great book!,5
"Newborn Baby Tracker&reg; - Round the Clock Childcare Journal, Log Book","This book is going to be a life saver! We are adopting and when we travel complete the adoption, I needed a book to keep track of baby's schedule. I have a terrible memory and this book will be perfect for keeping track of baby's schedule. I also love how there is a spot at the beginning for emergency numbers and important info. Perfect for traveling, the babysitter or just for at home use. I will definitely be buying more after I fill this up.",5
"Newborn Baby Tracker&reg; - Round the Clock Childcare Journal, Log Book","Love it love it love it!!  Got my first baby tracker as a gift, bought another one as soon as it was used up.  Great for daycare, too, so you can communicate with your provider about baby's activities for the day.  Also great for round the clock care- no need to ""remember"" when baby ate last or how much sleep you really got!!  Get it for your new moms- to- be!!",5
"Newborn Baby Tracker&reg; - Round the Clock Childcare Journal, Log Book","Of course this has been a great/easy way for me to record all of my baby's routines and a simple way for his caregiver to let me know how the day went.  What I really love about it, though, is that it was so easy for me to jot down all of his major milestones as they happened.  I knew that I wouldn't have time to work on his baby book in the beginning (and sure enough I didn't even get it out until after 2 months), and because I had this book I was able to finally transfer everything over.  Life saver!!  All of the funny little things would probably have been forgotten!",5
"Newborn Baby Tracker&reg; - Round the Clock Childcare Journal, Log Book","I am 4 weeks from delivery of my first baby and was looking for a newborn tracker. From the reviews I read this one looked like it had everything that one needs to write down and remember, so I bought it. I have not used it but I am very happy with what I saw. Hope it ends up being as useful at it looks.",5
"Newborn Baby Tracker&reg; - Round the Clock Childcare Journal, Log Book","We found this book at a rummage sale and found it to be so useful, especially when several people are helping with the baby (ex: visiting family, etc.)  We loved it so much that I've bought another one and have almost filled that one too.  I like having the room to write things about our baby's day and development, plus use the ""Notes"" section to write some story, etc.  It also helps ""Dad"" see what has happened that day and feels more connected.  I will be buying another one soon!",5
"Newborn Baby Tracker&reg; - Round the Clock Childcare Journal, Log Book",I got this baby tracker as part of the 'new parents' package from my work. It is extremely well organized ... much better then others I've seen. It is an iParenting Media Winner and for a good reason. Absolutely worth the $$. I am getting this for all my expecting friends! 5 starts!,5
"Newborn Baby Tracker&reg; - Round the Clock Childcare Journal, Log Book","I'm a new mom and I was looking for something to record my baby's daily activities and patterns and it is perfect! It has a lot of space to write down anything extra beyond the diaper changes, feedings and sleeping. I like that it has an area to write down medications. It is a great reminder for dr appointments and to track your baby's patterns. I am extremely happy with this book and will be ordering another one for when I run out of pages in 3 months.",5
"Newborn Baby Tracker&reg; - Round the Clock Childcare Journal, Log Book",Love this book ....super easy to keep track and sooooooooo helpful for this first time mom ..especially for pediatrician appts,5
"Newborn Baby Tracker&reg; - Round the Clock Childcare Journal, Log Book",I loved how this book was set up to keep track of everything important about baby.  I used it for the first year.  I always took it to doctor appointments to share how often she was eating and everything.,5
"Newborn Baby Tracker&reg; - Round the Clock Childcare Journal, Log Book",I've been using it since I have my newborn and it's a great way to keeping track of baby&#34;s schedule,5
"Newborn Baby Tracker&reg; - Round the Clock Childcare Journal, Log Book","I used a tracker with my first son - but I didn't so much need to with my second.  This tracker though, is laid out very well and keeps things pretty organized.  My only complaint is that it is not a full year tracker - I did the whole first year with my first son which is nice to refer back to.  I would recommend this book, but if you're interested in tracking the whole first year you will need to buy 3 (they run 4 months long).",4
